,BẢNG QUY ĐỔI 02,,
MÃ QUY ƯỚC - EEEE,MÃ MÀU NCC,D,TenD
0001,0613M,L,Laminate
0002,0715M,L,Laminate
0003,0966NT,L,Laminate
0004,0978M,L,Laminate
0005,0979M,L,Laminate
0006,0986QZ,L,Laminate
0007,1102M,L,Laminate
0008,1300M,L,Laminate
0009,1306M,L,Laminate
0010,1313D8,L,Laminate
0011,1611TX,L,Laminate
0012,1614G,L,Laminate
0013,1632NT,L,Laminate
0014,1633D8,L,Laminate
0015,1640NT,L,Laminate
0016,1651NT,L,Laminate
0017,1660D8,L,Laminate
0018,1660NT,L,Laminate
0019,1666NT,L,Laminate
0020,1671TX,L,Laminate
0021,1679D8,L,Laminate
0022,1693M,L,Laminate
0023,1696NT,L,Laminate
0024,1706TX,L,Laminate
0025,23004M6,L,Laminate
0026,23009QZ,L,Laminate
0027,23027M6,L,Laminate
0028,6412MX,L,Laminate
0029,7391NT,L,Laminate
0030,85041ZG,L,Laminate
0031,8841D8,L,Laminate
0032,9005NT,L,Laminate
0033,9658MX,L,Laminate
0034,9748LP,L,Laminate
0035,9865-TLP,L,Laminate
0036,HJ067,L,Laminate
0037,HT-209,L,Laminate
0038,JTDP01,L,Laminate
0039,JTDP02,L,Laminate
0040,N74,L,Laminate
0041,1260-66,L,Laminate
0042,5053-37,L,Laminate
0043,8994-37,L,Laminate
0044,3784-35,L,Laminate
0045,BT008-Y,L,Laminate
0046,BT001-Y,L,Laminate
0047,BT002-Y,L,Laminate
0048,BT1010-Y,L,Laminate
0049,BT030-Y,L,Laminate
0050,BT110-Y,L,Laminate
0051,BT106-Y,L,Laminate
0052,BT003-Y,L,Laminate
0053,BT038-Y,L,Laminate
0054,BT022-Y,L,Laminate
0055,BT009-Y,L,Laminate
0056,8109,L,Laminate
0057,8123,L,Laminate
0058,0123-36,L,Laminate
0059,1370-03,L,Laminate
0060,3320-55,L,Laminate
0061,3966-35,L,Laminate
0062,4261-33,L,Laminate
0063,5288-03,L,Laminate
0064,6118-82,L,Laminate
0065,6306-06,L,Laminate
0066,6679-66,L,Laminate
0067,7118-02,L,Laminate
0068,7458-06,L,Laminate
0069,BT041-Y,L,Laminate
0070,8813-17,L,Laminate
0071,8833-16,L,Laminate
0072,9316-30,L,Laminate
0073,9618-17,L,Laminate
0074,ID01036A-2TB-WM,L,Laminate
0075,ID01036A-4TB-WM,L,Laminate
0076,ID01041-2TB-WM,L,Laminate
0077,ID01041-3TB-WM,L,Laminate
0078,ID01041-6TB-WM,L,Laminate
0079,ID02030-WM,L,Laminate
0080,ID02032-10P-A,L,Laminate
0081,ID07085A-3TB-NT2,L,Laminate
0082,ID07087A-6TB-NT2,L,Laminate
0083,ID07090-3-TD,L,Laminate
0084,ID11044-6P-B,L,Laminate
0085,ID11052-3-TD,L,Laminate
0086,ID12044A-2TB-NT2,L,Laminate
0087,ID12044A-4TB-NT2,L,Laminate
0088,ID12044A-6TB-NT2,L,Laminate
0089,ID12047A-4TBP-NT2,L,Laminate
0090,ID15028-2P-HG,L,Laminate
0091,3626-6,M,Melamine
0092,3668-6,M,Melamine
0093,3691-1,M,Melamine
0094,3691-2,M,Melamine
0095,3720-8,M,Melamine
0096,3745-2,M,Melamine
0097,3759-6,M,Melamine
0098,3795-1,M,Melamine
0099,3803-5,M,Melamine
0100,3814-5,M,Melamine
0101,3819-2,M,Melamine
0102,3819-5,M,Melamine
0103,3876-8,M,Melamine
0104,3879-2,M,Melamine
0105,3880-5,M,Melamine
0106,3881-5,M,Melamine
0107,3882-4,M,Melamine
0108,3882-5,M,Melamine
0109,3882-8,M,Melamine
0110,3883-6,M,Melamine
0111,70177-5,M,Melamine
0112,70195-4,M,Melamine
0113,70212-2,M,Melamine
0114,Y-0003-4,M,Melamine
0115,Y-0005-2,M,Melamine
0116,Y-0006-1,M,Melamine
0117,Y-0006-3,M,Melamine
0118,Y-0007-2,M,Melamine
0119,Y-0008-6,M,Melamine
0120,Y-0012-3,M,Melamine
0121,Y-0012-4,M,Melamine
0122,Y-0014-4,M,Melamine
0123,Y-0015-2,M,Melamine
0124,Y-0020-6,M,Melamine
0125,Y-0021-1,M,Melamine
0126,Y-0021-2,M,Melamine
0127,Y-0021-4,M,Melamine
0128,Y-0024-11,M,Melamine
0129,Y-0028-6,M,Melamine
0130,Y-0029-2,M,Melamine
0131,Y-0029-3,M,Melamine
0132,Y-0039-3,M,Melamine
0133,Y-0039-4,M,Melamine
0134,Y-0043-6,M,Melamine
0135,Y-0048-4,M,Melamine
0136,Y-0049-3,M,Melamine
0137,Y-0058-3,M,Melamine
0138,Y-0075-6,M,Melamine
0139,Y-0098-1,M,Melamine
0140,Y-0098-2,M,Melamine
0141,Y-0103-1,M,Melamine
0142,Y-0103-5,M,Melamine
0143,Y-0105-1,M,Melamine
0144,Y-0105-5,M,Melamine
0145,Y-0109-3,M,Melamine
0146,Y-0114-2,M,Melamine
0147,Y-0134-2,M,Melamine
0148,Y-0141-5,M,Melamine
0149,Y-0144-1,M,Melamine
0150,Y-0146-1,M,Melamine
0151,Y-0166-2,M,Melamine
0152,Y-0220-2,M,Melamine
0153,Y-0238-3,M,Melamine
0154,Y-79003-2,M,Melamine
0155,Y-79007-2,M,Melamine
0156,Y-98002-1,M,Melamine
0157,Y-98002-3,M,Melamine
0158,105-21,M,Melamine
0159,EW001-SM11,M,Melamine
0160,EW002-SM24,M,Melamine
0161,EW003-4,M,Melamine
0162,EW013-5,M,Melamine
0163,EW015-4,M,Melamine
0164,EW016-1,M,Melamine
0165,EW016-2,M,Melamine
0166,EW019-SM6,M,Melamine
0167,EW020-SM5,M,Melamine
0168,EW020-SM6,M,Melamine
0169,EW023-SM6,M,Melamine
0170,EW024-SM5,M,Melamine
0171,EW1004-5,M,Melamine
0172,EW1012-5,M,Melamine
0173,EW1029-2,M,Melamine
0174,EW1044-5,M,Melamine
0175,EW1046-1,M,Melamine
0176,EW1047-1,M,Melamine
0177,EW1047-4,M,Melamine
0178,EW1052-3,M,Melamine
0179,EW1053-4,M,Melamine
0180,EW1056-1,M,Melamine
0181,EW1056-4,M,Melamine
0182,EW1057-4,M,Melamine
0183,EW1057-7,M,Melamine
0184,EW2004-4,M,Melamine
0185,MF61105-2,M,Melamine
0186,MF62083-1,M,Melamine
0187,MF62087-1,M,Melamine
0188,MF62107-2,M,Melamine
0189,MF62107-3,M,Melamine
0190,MF62179-3,M,Melamine
0191,MF63084-3,M,Melamine
0192,MF69007-1,M,Melamine
0193,MF69014-1,M,Melamine
0194,MF69020-3,M,Melamine
0195,MF69024-1,M,Melamine
0196,MF69025-4,M,Melamine
0197,MG61120-1,M,Melamine
0198,MG61127-5,M,Melamine
0199,MG61128-1,M,Melamine
0200,MG61130-5,M,Melamine
0201,MG61131-4,M,Melamine
0202,MG61136-2,M,Melamine
0203,MG61148-1,M,Melamine
0204,MG61158-6,M,Melamine
0205,MG61170-5,M,Melamine
0206,MG62139-5,M,Melamine
0207,217321T,M,Melamine
0208,218020T,M,Melamine
0209,22029T,M,Melamine
0210,242444T,M,Melamine
0211,24603,M,Melamine
0212,24631,M,Melamine
0213,24632,M,Melamine
0214,24635,M,Melamine
0215,24637,M,Melamine
0216,25153T,M,Melamine
0217,25159T,M,Melamine
0218,25837,M,Melamine
0219,312220T,M,Melamine
0220,312421T,M,Melamine
0221,31294,M,Melamine
0222,31365,M,Melamine
0223,35023T,M,Melamine
0224,353117,M,Melamine
0225,354422T,M,Melamine
0226,354617T,M,Melamine
0227,357814,M,Melamine
0228,35888,M,Melamine
0229,359617,M,Melamine
0230,77071T,M,Melamine
0231,81065T,M,Melamine
0232,81067T,M,Melamine
0233,91302T,M,Melamine
0234,91321T,M,Melamine
0235,C2162-70,M,Melamine
0236,C2412-20,M,Melamine
0237,C2538-19,M,Melamine
0238,C2609-16,M,Melamine
0239,C2625-25B,M,Melamine
0240,C3129-29,M,Melamine
0241,C3138-7,M,Melamine
0242,C3528-7,M,Melamine
0243,C3541-31,M,Melamine
0244,C3544-10,M,Melamine
0245,C3544-9,M,Melamine
0246,C3564-16,M,Melamine
0247,C3568-52,M,Melamine
0248,C3568-54A,M,Melamine
0249,C3568-55,M,Melamine
0250,C3574-53,M,Melamine
0251,C3595-37B,M,Melamine
0252,C9564-23,M,Melamine
0253,C9900-109,M,Melamine
0254,C9900-38,M,Melamine
0255,C9900-47,M,Melamine
0256,C9900-49,M,Melamine
0257,C9900-59,M,Melamine
0258,C9900-94,M,Melamine
0259,CK1603-12T,M,Melamine
0260,CK1603-15T,M,Melamine
0261,CK2128-38,M,Melamine
0262,CK2506-22,M,Melamine
0263,CK2524-5,M,Melamine
0264,CK2531-20,M,Melamine
0265,CK2538-12,M,Melamine
0266,CK2551-1,M,Melamine
0267,CK3119-2A,M,Melamine
0268,CK3131-10TA,M,Melamine
0269,CK3539-9,M,Melamine
0270,CK3543-3,M,Melamine
0271,CK3601-66TA,M,Melamine
0272,CK3601-82,M,Melamine
0273,CK3605-10,M,Melamine
0274,CK3617-2,M,Melamine
0275,CK3619-52,M,Melamine
0276,CK7508-20,M,Melamine
0277,CK7516-5,M,Melamine
0278,CK9000-645,M,Melamine
0279,CK9158-12,M,Melamine
0280,CK9161-4T,M,Melamine
0281,CK9611-10,M,Melamine
0282,CK9615-91,M,Melamine
0283,CK9629-4,M,Melamine
0284,CK9636-7,M,Melamine
0285,CK9640-1,M,Melamine
0286,CK9645-2,M,Melamine
0287,3909-06,M,Melamine
0288,BT001,M,Melamine
0289,BT002,M,Melamine
0290,BT003,M,Melamine
0291,BT008,M,Melamine
0292,BT009,M,Melamine
